ID,Currency,Impact,title,Forecast,Previous,Actual,timeofevent,positive
46,EUR,1,Consumer Confidence,-7,-7,-6,07/1/5 5:00,1
47,CAD,3,Employment Change,17.0K,22.0K,62.0K,07/1/5 7:00,1
48,USD,3,Non-Farm Employment Change,115K,132K,167K,07/1/5 8:30,1
49,CAD,3,Ivey PMI,50.5,52.8,49.4,07/1/5 10:00,-1
50,USD,1,Natural Gas Storage,-60B,-46B,-47B,07/1/5 10:30,1
51,USD,2,Fed Chairman Bernanke Speaks,,,,07/1/5 13:45,1
52,AUD,1,AIG Construction Index,,47.6,52.1,07/1/7 17:30,1
53,JPY,0,Bank Holiday,,,,2007-1-7 All Day,1
54,AUD,3,Building Approvals m/m,2.00%,-6.80%,4.10%,07/1/7 19:30,1
55,CHF,1,Unemployment Rate,3.10%,3.10%,3.10%,07/1/8 1:45,-1
56,EUR,2,German Retail Sales m/m,0.60%,-0.50%,-0.30%,07/1/8 2:00,0
57,EUR,2,German Factory Orders m/m,1.50%,-0.70%,1.50%,07/1/8 6:00,1
58,CAD,3,BOC Business Outlook Survey,,,,07/1/8 10:30,1
59,USD,2,FOMC Member Kohn Speaks,,,,07/1/8 12:45,1
60,USD,1,Consumer Credit m/m,5.4B,-1.3B,12.3B,07/1/8 15:00,1
61,GBP,2,BRC Retail Sales Monitor y/y,,0.50%,2.50%,07/1/8 19:01,1
62,AUD,3,Retail Sales m/m,0.30%,0.80%,0.20%,07/1/8 19:30,1
63,EUR,1,German Trade Balance,15.3B,17.2B,19.3B,07/1/9 2:00,1
64,EUR,2,German Industrial Production m/m,1.00%,-0.80%,1.80%,07/1/9 6:00,1
65,USD,1,NFIB Small Business Index,,99.7,96.5,07/1/9 7:30,1
66,CAD,3,Housing Starts,230K,229K,212K,07/1/9 8:15,1
67,USD,1,IBD/TIPP Economic Optimism,53.7,53.5,53.7,07/1/9 10:00,1
68,AUD,1,Westpac Consumer Sentiment,,11.80%,7.30%,07/1/9 18:30,1
69,GBP,1,Nationwide Consumer Confidence,89,89,83,07/1/9 19:01,1
70,AUD,2,Trade Balance,-0.73B,-1.51,-0.84B,07/1/9 19:30,1
71,JPY,1,10-y Bond Auction,,1.64|2.3,1.73|2.5,07/1/9 22:45,-1
72,EUR,1,German WPI m/m,0.20%,0.10%,0.00%,07/1/10 2:00,0
73,EUR,2,French Industrial Production m/m,0.70%,0.00%,-0.20%,07/1/10 2:45,1
74,GBP,2,Goods Trade Balance,-6.45B,-6.33B,-7.2B,07/1/10 4:30,1
75,GBP,1,BRC Shop Price Index y/y,,1.80%,2.30%,07/1/10 5:30,1
76,CAD,2,Building Permits m/m,2.00%,7.80%,3.00%,07/1/10 8:30,1
77,USD,1,Final Wholesale Inventories m/m,0.40%,0.40%,1.30%,07/1/10 10:00,1
78,USD,1,Crude Oil Inventories,-1.5M,-1.3M,-5.0M,07/1/10 10:30,1
79,AUD,1,MI Inflation Expectations,,3.50%,3.50%,07/1/10 16:30,1
80,AUD,3,Employment Change,12.0K,43.0K,44.6K,07/1/10 19:30,1
81,CNY,3,USD-Denominated Trade Balance,21.6B,22.9B,21.0B,07/1/10 20:35,1
82,JPY,1,Leading Indicators,20.00%,54.50%,20.00%,07/1/11 0:00,0
83,JPY,1,Prelim Machine Tool Orders y/y,,4.90%,-2.40%,07/1/11 1:00,1
84,GBP,3,Manufacturing Production m/m,0.20%,-0.30%,0.30%,07/1/11 4:30,1
85,EUR,1,Final GDP q/q,0.50%,0.50%,0.50%,07/1/11 5:00,1
86,GBP,3,MPC Rate Statement,,,,07/1/11 7:00,1
87,EUR,2,Main Refinancing Rate,3.50%,3.50%,3.50%,07/1/11 7:45,1
88,USD,1,FOMC Member Geithner Speaks,,,,07/1/11 8:00,1
89,EUR,3,ECB Press Conference,,,,07/1/11 8:30,1
90,GBP,1,CB Leading Index m/m,,0.00%,0.10%,07/1/11 10:30,1
91,NZD,2,Building Consents m/m,,-3.60%,-12.00%,07/1/11 16:45,1
92,JPY,1,Bank Lending y/y,,1.20%,1.70%,07/1/11 18:50,1
93,GBP,1,NIESR GDP Estimate,,0.60%,0.70%,07/1/11 19:01,1
94,JPY,1,Economy Watchers Sentiment,49.8,48.9,48.9,07/1/12 0:00,1
95,EUR,1,French Final CPI m/m,0.10%,0.10%,0.20%,07/1/12 2:45,1
96,USD,3,Core Retail Sales m/m,0.50%,1.10%,1.00%,07/1/12 8:30,1
97,USD,2,Business Inventories m/m,0.40%,0.20%,0.40%,07/1/12 10:00,1
98,USD,2,Federal Budget Balance,25.6B,-75.6B,44.5B,07/1/12 14:00,1
99,AUD,1,MI Inflation Gauge m/m,,0.20%,0.30%,07/1/14 18:30,1
100,JPY,2,Core Machinery Orders m/m,4.20%,2.80%,3.80%,07/1/14 18:50,1
101,AUD,2,Home Loans m/m,0.00%,-0.20%,-0.60%,07/1/14 19:30,1
102,CNY,2,New Loans,,194B,214B,07/1/14 21:00,1
103,EUR,1,Italian Industrial Production m/m,0.30%,0.60%,-0.30%,07/1/15 4:00,1
104,CNY,1,Foreign Direct Investment ytd/y,,2.10%,4.20%,07/1/15 4:15,1
105,EUR,1,Sentix Investor Confidence,30.2,29.1,29.5,07/1/15 4:30,1
106,EUR,2,Industrial Production m/m,0.60%,-0.20%,0.20%,07/1/15 5:00,1
107,USD,0,Bank Holiday,,,,2007-1-15 All Day,1
108,CAD,1,New Motor Vehicle Sales m/m,3.00%,-1.90%,3.00%,07/1/15 8:30,-1
109,NZD,3,NZIER Business Confidence,,-19,3,07/1/15 16:00,0
110,JPY,1,PPI y/y,2.50%,2.70%,2.50%,07/1/15 18:50,1
111,GBP,2,RICS House Price Balance,46%,47%,37%,07/1/15 19:01,1
112,JPY,1,Revised Industrial Production m/m,0.70%,0.70%,0.80%,07/1/15 23:30,1
113,GBP,3,CPI y/y,2.80%,2.70%,3.00%,07/1/16 4:30,-1
114,EUR,2,German ZEW Economic Sentiment,-12,-19,-3.6,07/1/16 5:00,1
115,GBP,2,MPC Member Sentance Speaks,,,,07/1/16 7:00,1
116,USD,2,Empire State Manufacturing Index,18,23.1,9.1,07/1/16 8:30,1
117,CAD,3,BOC Rate Statement,,,,07/1/16 9:00,1
118,NZD,3,CPI q/q,-0.10%,0.70%,-0.20%,07/1/16 16:45,1
119,AUD,1,MI Leading Index m/m,,0.50%,0.50%,07/1/16 18:30,1
120,JPY,1,Current Account,2.10T,2.02T,1.95T,07/1/16 18:50,1
121,JPY,1,Consumer Confidence,48,48.7,45.9,07/1/17 0:00,1
122,EUR,1,German Final CPI m/m,0.80%,0.80%,0.80%,07/1/17 2:00,1
123,GBP,3,Claimant Count Change,-5.0K,-7.9K,-5.5K,07/1/17 4:30,1
124,EUR,1,Final CPI y/y,1.90%,1.90%,1.90%,07/1/17 5:00,1
125,USD,3,PPI m/m,0.60%,2.00%,0.90%,07/1/17 8:30,1
126,USD,3,TIC Long-Term Purchases,82.5B,89.3B,68.4B,07/1/17 9:00,1
127,USD,2,Capacity Utilization Rate,81.80%,81.60%,81.80%,07/1/17 9:15,1
128,USD,2,FOMC Member Mishkin Speaks,,,,07/1/17 13:00,1
129,USD,2,Beige Book,,,,07/1/17 14:00,1
130,JPY,2,Tertiary Industry Activity m/m,0.00%,2.10%,-0.30%,07/1/17 18:50,1
131,AUD,1,RBA Bulletin,,,,07/1/17 19:30,1
132,JPY,1,30-y Bond Auction,,2.52|3.0,2.38|3.3,07/1/17 22:45,1
133,JPY,3,Overnight Call Rate,0.50%,0.25%,0.25%,07/1/17 23:00,1
134,JPY,1,BOJ Monthly Report,,,,07/1/18 1:00,1
135,JPY,2,BOJ Press Conference,,,,07/1/18 1:30,1
136,CHF,2,Retail Sales y/y,1.60%,0.60%,3.30%,07/1/18 3:15,1
137,EUR,1,Italian Trade Balance,-1.12B,-0.86B,-0.92B,07/1/18 4:00,1
138,EUR,1,Spanish 10-y Bond Auction,,3.99|1.8,4.10|2.3,07/1/18 4:37,0
139,CHF,2,Credit Suisse Economic Expectations,,-23.7,-10.8,07/1/18 5:00,1
140,GBP,2,MPC Member Besley Speaks,,,,07/1/18 6:00,1
141,CAD,2,Foreign Securities Purchases,-2.48B,-4.18B,11.00B,07/1/18 8:30,0
142,USD,3,Fed Chairman Bernanke Testifies,,,,07/1/18 10:00,1
143,CAD,3,BOC Monetary Policy Report,,,,07/1/18 10:30,0
144,CAD,3,BOC Press Conference,,,,07/1/18 11:15,1
145,USD,2,Philly Fed Manufacturing Index,3,-4.3,8.3,07/1/18 12:00,1
146,NZD,3,Core Retail Sales m/m,0.10%,0.10%,-0.10%,07/1/18 16:45,1
147,AUD,1,Import Prices q/q,-1.50%,-0.30%,-3.20%,07/1/18 19:30,1
148,GBP,3,Retail Sales m/m,0.50%,0.20%,1.10%,07/1/19 4:30,1
149,CAD,2,Wholesale Sales m/m,0.50%,-0.40%,0.10%,07/1/19 8:30,1
150,USD,3,Prelim UoM Consumer Sentiment,92.5,91.7,98,07/1/19 10:00,1
151,GBP,1,Rightmove HPI m/m,,-0.30%,0.50%,07/1/21 19:01,1
152,AUD,3,PPI q/q,0.20%,1.00%,0.20%,07/1/21 19:30,1
153,EUR,1,German PPI m/m,0.10%,0.00%,0.00%,07/1/22 2:00,0
154,CHF,2,PPI m/m,0.10%,0.00%,0.00%,07/1/22 3:15,1
155,EUR,2,German Buba Monthly Report,,,,07/1/22 6:00,1
156,EUR,2,French Consumer Spending m/m,0.30%,0.90%,1.30%,07/1/23 1:45,1
157,EUR,2,Industrial New Orders m/m,1.00%,-0.50%,1.40%,07/1/23 5:00,1
158,GBP,2,CBI Industrial Order Expectations,-5,-5,-9,07/1/23 6:00,1
159,CAD,3,Core CPI m/m,0.00%,0.30%,-0.20%,07/1/23 7:00,1
160,CAD,3,Core Retail Sales m/m,0.50%,-0.80%,0.10%,07/1/23 8:30,1
161,USD,1,CB Leading Index m/m,0.20%,0.00%,0.30%,07/1/23 10:00,1
162,GBP,2,BOE Gov King Speaks,,,,07/1/23 14:00,1
163,AUD,1,CB Leading Index m/m,,0.30%,0.20%,07/1/23 18:00,1
164,JPY,2,Monetary Policy Meeting Minutes,,,,07/1/23 18:50,1
165,AUD,3,CPI q/q,0.20%,0.90%,-0.10%,07/1/23 19:30,1
166,NZD,1,Credit Card Spending y/y,,7.80%,10.10%,07/1/23 20:00,1
167,All,2,WEF Annual Meetings,,,,2007-1-24 Day 1,1
168,GBP,3,MPC Official Bank Rate Votes,8-0-1,0-0-9,5-0-4,07/1/24 4:30,0
169,EUR,1,German 30-y Bond Auction,,4.23|1.5,4.11|1.2,07/1/24 5:12,1
170,EUR,2,Belgian NBB Business Climate,2.6,2.5,2.1,07/1/24 9:00,1
171,USD,1,Crude Oil Inventories,1.3M,6.8M,0.7M,07/1/24 10:30,1
172,NZD,3,Official Cash Rate,7.25%,7.25%,7.25%,07/1/24 15:00,1
173,NZD,1,BusinessNZ Manufacturing Index,,55.1,54.2,07/1/24 18:00,1
174,JPY,1,Trade Balance,0.87T,0.98T,0.66T,07/1/24 18:50,1
175,CNY,3,GDP q/y,10.20%,10.60%,10.40%,07/1/24 21:00,0
176,EUR,1,German GfK Consumer Climate,8.6,8.5,4.8,07/1/25 2:00,1
177,EUR,3,German ifo Business Climate,108.9,108.7,107.9,07/1/25 4:00,1
178,All,2,WEF Annual Meetings,,,,2007-1-25 Day 2,1
179,EUR,1,Italian Retail Sales m/m,0.10%,-0.10%,0.30%,07/1/25 5:00,-1
180,USD,1,Unemployment Claims,310K,289K,325K,07/1/25 8:30,1
181,USD,3,Existing Home Sales,6.25M,6.27M,6.22M,07/1/25 10:00,1
182,USD,1,Natural Gas Storage,-174B,-89B,-179B,07/1/25 10:30,0
183,AUD,0,Bank Holiday,,,,2007-1-25 All Day,1
184,NZD,2,RBNZ Gov Bollard Speaks,,,,07/1/25 18:00,1
185,JPY,2,Tokyo Core CPI y/y,0.20%,0.20%,0.20%,07/1/25 18:30,1
186,JPY,1,SPPI y/y,-0.10%,-0.10%,0.20%,07/1/25 18:50,1
187,EUR,1,German Import Prices m/m,0.10%,-0.40%,-0.30%,07/1/26 2:00,1
188,EUR,1,Spanish Unemployment Rate,8.20%,8.20%,8.30%,07/1/26 3:00,1
189,CHF,2,UBS Consumption Indicator,,1.89,1.9,07/1/26 4:00,1
190,All,2,WEF Annual Meetings,,,,2007-1-26 Day 3,1
191,GBP,2,High Street Lending,,78.7K,45.5K,07/1/26 4:30,1
192,USD,3,Core Durable Goods Orders m/m,0.50%,-1.00%,2.30%,07/1/26 8:30,1
193,USD,3,New Home Sales,1050K,1069K,1120K,07/1/26 10:00,1
194,All,2,WEF Annual Meetings,,,,2007-1-27 Day 4,1
195,All,2,WEF Annual Meetings,,,,2007-1-28 Day 5,1
196,JPY,2,Retail Sales y/y,-0.60%,-0.20%,-0.30%,07/1/28 18:50,1
197,AUD,2,NAB Quarterly Business Confidence,,2,4,07/1/28 19:30,1
198,EUR,1,Eurogroup Meetings,,,,2007-1-29 All Day,1
199,GBP,2,CBI Realized Sales,18,25,30,07/1/29 6:00,0
200,NZD,2,Building Consents m/m,,-11.60%,-4.90%,07/1/29 16:45,1
201,JPY,1,Household Spending y/y,-1.20%,-0.70%,-1.90%,07/1/29 18:30,1
202,JPY,2,Prelim Industrial Production m/m,0.40%,0.80%,0.70%,07/1/29 18:50,1
203,AUD,1,NAB Business Confidence,,6,4,07/1/29 19:30,1
204,GBP,2,Nationwide HPI m/m,0.80%,1.20%,0.30%,07/1/30 2:00,1
205,EUR,2,German Prelim CPI m/m,0.20%,0.80%,-0.20%,2007-1-30 All Day,1
206,EUR,1,Retail PMI,,52.1,47.9,07/1/30 4:00,1
207,EUR,1,ECOFIN Meetings,,,,2007-1-30 All Day,1
208,GBP,1,Mortgage Approvals,122K,129K,113K,07/1/30 4:30,1
209,EUR,1,Italian 10-y Bond Auction,,4.17|1.5,4.29|1.3,07/1/30 5:18,-1
210,CAD,1,IPPI m/m,0.50%,0.00%,1.40%,07/1/30 8:30,1
211,USD,1,S&P/CS Composite-20 HPI y/y,1.60%,2.90%,1.70%,07/1/30 9:00,1
212,USD,3,CB Consumer Confidence,110.5,110,110.3,07/1/30 10:00,1
213,NZD,3,Trade Balance,-422M,-806M,-433M,07/1/30 16:45,1
214,JPY,1,Final Manufacturing PMI,,53.1,53.4,07/1/30 18:30,1
215,AUD,2,HIA New Home Sales m/m,,-5.30%,6.00%,07/1/30 19:20,1
216,AUD,2,Private Sector Credit m/m,1.00%,1.10%,0.90%,07/1/30 19:30,1
217,JPY,1,Average Cash Earnings y/y,0.50%,0.20%,-0.60%,07/1/30 20:30,1
218,JPY,1,Housing Starts y/y,9.00%,4.00%,10.20%,07/1/31 0:00,-1
219,EUR,2,German Retail Sales m/m,1.20%,-0.70%,2.40%,07/1/31 2:00,1
220,EUR,2,German Unemployment Change,-80K,-96K,-70K,07/1/31 3:55,1
221,EUR,1,CPI Flash Estimate y/y,2.10%,1.90%,1.90%,07/1/31 5:00,1
222,CHF,2,KOF Economic Barometer,1.55,1.75,1.71,07/1/31 5:30,1
223,USD,2,ADP Non-Farm Employment Change,135K,147K,152K,07/1/31 8:15,0
224,CAD,3,GDP m/m,0.30%,0.00%,0.20%,07/1/31 8:30,1
225,USD,2,Chicago PMI,52,52.4,48.8,07/1/31 9:45,1
226,USD,1,Construction Spending m/m,-0.10%,0.10%,-0.40%,07/1/31 10:00,1
227,USD,1,Crude Oil Inventories,1.4M,0.7M,2.7M,07/1/31 10:30,1
228,USD,3,FOMC Statement,,,,07/1/31 14:15,1
229,AUD,1,AIG Manufacturing Index,,52.4,51.3,07/1/31 17:30,1
230,CNY,3,Manufacturing PMI,,54.8,55.1,07/1/31 20:00,1
231,CNY,2,Caixin Manufacturing PMI,,52.4,52,07/1/31 21:30,0
232,JPY,1,10-y Bond Auction,,1.73|2.5,1.70|2.8,07/1/31 22:45,1
233,AUD,2,Commodity Prices y/y,,11.20%,10.10%,07/2/1 0:30,-1
234,CHF,2,Trade Balance,1.00B,1.23B,0.43B,07/2/1 2:15,1
235,EUR,1,Spanish Manufacturing PMI,,57.2,56.2,07/2/1 3:15,-1
236,CHF,2,Manufacturing PMI,64.7,65,62,07/2/1 3:30,1
237,EUR,1,Italian Manufacturing PMI,54.6,55,53.5,07/2/1 3:45,1
238,EUR,2,Final Manufacturing PMI,56.3,56.5,55.5,07/2/1 4:00,1
239,GBP,2,Final Manufacturing PMI,51.9,52,52.8,07/2/1 4:30,1
240,EUR,1,French 10-y Bond Auction,,3.97|2.4,4.12|2.8,07/2/1 5:00,1
241,USD,1,Challenger Job Cuts y/y,,-49.30%,-39.10%,07/2/1 7:30,1
242,USD,3,Core PCE Price Index m/m,0.20%,0.00%,0.10%,07/2/1 8:30,1
243,USD,3,ISM Manufacturing PMI,51.6,51.4,49.3,07/2/1 10:00,1
244,USD,1,Natural Gas Storage,-201B,-179B,-186B,07/2/1 10:30,1
245,USD,1,Total Vehicle Sales,16.6M,16.7M,16.6M,2007-2-1 All Day,-1
246,EUR,2,ECB President Trichet Speaks,,,,07/2/1 11:30,1
247,NZD,1,Visitor Arrivals m/m,,0.50%,-1.30%,07/2/1 16:45,1
248,JPY,1,Monetary Base y/y,-20.00%,-20.00%,-21.10%,07/2/1 18:50,1
249,AUD,2,Trade Balance,-1.05B,-0.9,-1.34B,07/2/1 19:30,1
250,EUR,1,Spanish Unemployment Change,,-0.3K,59.6K,07/2/2 3:00,1
251,CHF,2,SNB Chairman Roth Speaks,,,,07/2/2 4:00,1
252,GBP,1,Construction PMI,57,57.5,57.9,07/2/2 4:30,1
253,EUR,1,PPI m/m,0.00%,0.00%,0.00%,07/2/2 5:00,1
254,USD,3,Non-Farm Employment Change,146K,206K,111K,07/2/2 8:30,1
255,USD,2,Factory Orders m/m,1.60%,1.20%,2.40%,07/2/2 10:00,1
256,CNY,1,Non-Manufacturing PMI,,,55.6,07/2/2 20:00,1
257,NZD,3,Labor Cost Index q/q,0.70%,0.80%,1.00%,07/2/4 16:45,1
258,AUD,1,AIG Services Index,,49.5,49.5,07/2/4 17:30,1
259,AUD,1,MI Inflation Gauge m/m,,0.30%,0.00%,07/2/4 18:30,1
260,AUD,3,Building Approvals m/m,-0.80%,3.50%,-1.90%,07/2/4 19:30,1
261,EUR,1,Spanish Services PMI,,58.1,57.9,07/2/5 3:15,1
262,EUR,1,Italian Services PMI,54.9,55,55.4,07/2/5 3:45,1
263,EUR,1,Final Services PMI,56.8,57.2,57.9,07/2/5 4:00,1
264,EUR,1,Sentix Investor Confidence,30.5,29.5,31.1,07/2/5 4:30,1
265,EUR,1,Italian Prelim CPI m/m,0.10%,0.10%,0.20%,07/2/5 5:00,-1
266,CAD,3,Ivey PMI,52,49.4,53.8,07/2/5 10:00,1
267,USD,1,Loan Officer Survey,,,,07/2/5 14:00,1
268,NZD,0,Bank Holiday,,,,2007-2-5 All Day,1
269,JPY,1,Leading Indicators,25.00%,18.20%,25.00%,07/2/6 0:00,1
270,CHF,1,Foreign Currency Reserves,,46B,45B,07/2/6 3:00,1
271,EUR,1,Retail Sales m/m,1.00%,0.50%,0.30%,07/2/6 5:00,1
272,EUR,2,German Factory Orders m/m,0.50%,0.80%,-0.20%,07/2/6 6:00,1
273,CAD,2,Building Permits m/m,-2.00%,2.60%,-7.80%,07/2/6 8:30,1
274,USD,1,JOLTS Job Openings,,4.29M,4.43M,07/2/6 10:00,1
275,CAD,2,Gov Council Member Longworth Speaks,,,,07/2/6 12:00,1
276,USD,2,Fed Chairman Bernanke Speaks,,,,07/2/6 17:00,1
277,AUD,3,Cash Rate,6.25%,6.25%,6.25%,07/2/6 17:30,1
278,GBP,1,Nationwide Consumer Confidence,85,83,84,07/2/6 19:01,-1
279,NZD,1,ANZ Commodity Prices m/m,,2.10%,3.80%,07/2/6 20:59,1
280,NZD,1,ANZ Commodity Prices m/m,,3.80%,1.30%,07/2/6 21:00,1
281,CHF,1,Unemployment Rate,3.10%,3.10%,3.00%,07/2/7 1:45,1
282,EUR,1,French Gov Budget Balance,,-54.9B,-36.2B,07/2/7 2:45,-1
283,GBP,3,Manufacturing Production m/m,0.10%,0.20%,0.20%,07/2/7 4:30,1
284,GBP,1,BRC Shop Price Index y/y,,2.30%,1.80%,07/2/7 5:30,1
285,EUR,2,German Industrial Production m/m,0.50%,2.00%,-0.50%,07/2/7 6:00,1
286,USD,2,Prelim Nonfarm Productivity q/q,2.00%,0.20%,3.00%,07/2/7 8:30,1
287,USD,1,Crude Oil Inventories,2.0M,2.7M,-0.4M,07/2/7 10:30,1
288,USD,2,10-y Bond Auction,,4.58|2.5,4.74|2.4,07/2/7 13:00,1
289,USD,1,Consumer Credit m/m,7.0B,13.7B,6.0B,07/2/7 15:00,1
290,NZD,3,Employment Change q/q,0.00%,-0.40%,-0.10%,07/2/7 16:45,1
291,JPY,1,Bank Lending y/y,,1.70%,1.70%,07/2/7 18:50,1
292,GBP,1,NIESR GDP Estimate,,0.80%,0.80%,07/2/7 19:01,1
293,AUD,3,Employment Change,3.0K,46.0K,-3.6K,07/2/7 19:30,1
294,JPY,1,Prelim Machine Tool Orders y/y,,-1.90%,5.70%,07/2/8 1:00,1
295,CHF,3,CPI m/m,-0.30%,0.00%,-0.70%,07/2/8 1:45,1
296,EUR,1,German Trade Balance,17.0B,19.1B,14.4B,07/2/8 2:00,1
297,GBP,3,Halifax HPI m/m,0.40%,-0.90%,1.30%,07/2/8 3:00,-1
298,GBP,3,Official Bank Rate,5.25%,5.25%,5.25%,07/2/8 7:00,1
299,EUR,2,Main Refinancing Rate,3.50%,3.50%,3.50%,07/2/8 7:45,1
300,CAD,3,Housing Starts,216K,213K,249K,07/2/8 8:15,1
301,CAD,1,NHPI m/m,0.50%,0.50%,0.00%,07/2/8 8:30,1
302,USD,1,Final Wholesale Inventories m/m,0.60%,1.10%,-0.50%,07/2/8 10:00,1
303,USD,1,Natural Gas Storage,-219B,-186B,-224B,07/2/8 10:30,1
304,USD,1,30-y Bond Auction,,5.08|1.8,4.81|2.5,07/2/8 13:00,1
305,JPY,2,Core Machinery Orders m/m,-0.50%,3.80%,-0.70%,07/2/8 18:50,1
306,AUD,2,Home Loans m/m,0.30%,-0.40%,0.10%,07/2/8 19:30,1
307,EUR,1,German WPI m/m,-0.20%,0.00%,0.00%,07/2/9 2:00,1
308,EUR,2,French Industrial Production m/m,0.20%,-0.40%,1.10%,07/2/9 2:45,1
309,EUR,1,Italian Industrial Production m/m,0.70%,0.50%,2.00%,07/2/9 4:00,1
310,All,2,G7 Meetings,,,,2007-2-9 Day 1,1
311,GBP,3,Goods Trade Balance,-7.0B,-6.9B,-7.1B,07/2/9 4:30,1
312,CAD,3,Employment Change,25.0K,62.0K,89.0K,07/2/9 7:00,1
313,All,3,G7 Meetings,,,,2007-2-10 Day 2,1
314,JPY,0,Bank Holiday,,,,2007-2-11 All Day,1
315,AUD,3,RBA Monetary Policy Statement,,,,07/2/11 19:30,1
316,CNY,3,USD-Denominated Trade Balance,15.5B,21.0B,15.9B,07/2/11 22:10,1
317,GBP,3,PPI Input m/m,-0.80%,0.10%,-2.00%,07/2/12 4:30,1
318,GBP,1,CB Leading Index m/m,,0.10%,0.10%,07/2/12 10:30,1
319,USD,2,Federal Budget Balance,40.0B,44.5B,38.2B,07/2/12 14:00,1
320,NZD,3,PPI Input q/q,0.00%,2.00%,-0.30%,07/2/12 16:45,1
321,JPY,1,PPI y/y,2.40%,2.50%,2.20%,07/2/12 18:50,1
322,AUD,1,NAB Business Confidence,,4,6,07/2/12 19:30,1
323,CNY,2,PPI y/y,2.90%,3.10%,3.30%,07/2/12 21:00,1
324,JPY,1,Consumer Confidence,48.8,45.9,48.1,07/2/13 0:00,1
325,EUR,3,German Prelim GDP q/q,0.60%,0.80%,0.90%,07/2/13 2:00,1
326,EUR,1,French Prelim GDP q/q,0.50%,0.00%,0.60%,07/2/13 2:45,1
327,EUR,1,Spanish Flash GDP q/q,1.10%,0.90%,1.10%,07/2/13 3:00,1
328,EUR,1,Italian Prelim GDP q/q,0.40%,0.30%,1.10%,07/2/13 4:00,1
329,GBP,3,CPI y/y,2.90%,3.00%,2.70%,07/2/13 4:30,1
