id,currency,impact,title,previous,forcast,actual,timeofevent,positive
36,NZD,0,Bank Holiday,NULL,NULL,NULL,2007-02-05 08:30:00,0
37,JPY,1,Leading Indicators,18.20,25.00,25.00,2007-02-06 08:30:00,1
38,CHF,1,Foreign Currency Reserves,46,NULL,45,2007-02-05 23:30:00,-1
39,EUR,1,Retail Sales m/m,0.50,1.00,0.30,2007-02-06 01:30:00,1
40,EUR,2,German Factory Orders m/m,0.80,0.50,-0.20,2007-02-06 02:30:00,1
41,CAD,2,Building Permits m/m,2.60,-2.00,-7.80,2007-02-06 05:00:00,1
42,USD,1,JOLTS Job Openings,4.29,NULL,4.43,2007-02-06 06:30:00,1
43,CAD,2,Gov Council Member Longworth Speaks,NULL,NULL,NULL,2007-02-05 22:30:00,1
44,USD,2,Fed Chairman Bernanke Speaks,NULL,NULL,NULL,2007-02-06 01:30:00,1
45,AUD,3,Cash Rate,6.25,6.25,6.25,2007-02-06 02:00:00,1
46,GBP,1,Nationwide Consumer Confidence,83,85,84,2007-02-06 03:31:00,1
47,NZD,1,ANZ Commodity Prices m/m,2.10,NULL,3.80,2007-02-06 05:29:00,1
48,NZD,1,ANZ Commodity Prices m/m,3.80,NULL,1.30,2007-02-06 05:30:00,1
49,CHF,1,Unemployment Rate,3.10,3.10,3.00,2007-02-06 22:15:00,-1
50,EUR,1,French Gov Budget Balance,-54.9,NULL,-36.2,2007-02-06 23:15:00,1
51,GBP,3,Manufacturing Production m/m,0.20,0.10,0.20,2007-02-07 01:00:00,1
52,GBP,1,BRC Shop Price Index y/y,2.30,NULL,1.80,2007-02-07 02:00:00,1
53,EUR,2,German Industrial Production m/m,2.00,0.50,-0.50,2007-02-07 02:30:00,1
54,USD,2,Prelim Nonfarm Productivity q/q,0.20,2.00,3.00,2007-02-07 05:00:00,1
55,USD,1,Crude Oil Inventories,2.7,2.0,-0.4,2007-02-07 07:00:00,-1
56,USD,2,10-y Bond Auction,4.582,NULL,4.742,2007-02-06 21:30:00,0
57,USD,1,Consumer Credit m/m,13.7,7.0,6.0,2007-02-06 23:30:00,1
58,NZD,3,Employment Change q/q,-0.40,0.00,-0.10,2007-02-07 01:15:00,1
59,JPY,1,Bank Lending y/y,1.70,NULL,1.70,2007-02-07 03:20:00,1
60,GBP,1,NIESR GDP Estimate,0.80,NULL,0.80,2007-02-07 03:31:00,1
61,AUD,3,Employment Change,46.0,3.0,-3.6,2007-02-07 04:00:00,1
62,JPY,1,Prelim Machine Tool Orders y/y,-1.90,NULL,5.70,2007-02-07 21:30:00,1
63,CHF,3,CPI m/m,0.00,-0.30,-0.70,2007-02-07 22:15:00,1
64,EUR,1,German Trade Balance,19.1,17.0,14.4,2007-02-07 22:30:00,1
65,GBP,3,Halifax HPI m/m,-0.90,0.40,1.30,2007-02-07 23:30:00,1
66,GBP,3,Official Bank Rate,5.25,5.25,5.25,2007-02-08 03:30:00,1
67,EUR,2,Main Refinancing Rate,3.50,3.50,3.50,2007-02-08 04:15:00,1
68,CAD,3,Housing Starts,213,216,249,2007-02-08 04:45:00,1
69,CAD,1,NHPI m/m,0.50,0.50,0.00,2007-02-08 05:00:00,1
70,USD,1,Final Wholesale Inventories m/m,1.10,0.60,-0.50,2007-02-08 06:30:00,1
71,USD,1,Natural Gas Storage,-186,-219,-224,2007-02-08 07:00:00,-1
72,USD,1,30-y Bond Auction,5.081,NULL,4.812,2007-02-07 21:30:00,0
73,JPY,2,Core Machinery Orders m/m,3.80,-0.50,-0.70,2007-02-08 03:20:00,1
74,AUD,2,Home Loans m/m,-0.40,0.30,0.10,2007-02-08 04:00:00,1
75,EUR,1,German WPI m/m,0.00,-0.20,0.00,2007-02-08 22:30:00,1
76,EUR,2,French Industrial Production m/m,-0.40,0.20,1.10,2007-02-08 23:15:00,1
77,EUR,1,Italian Industrial Production m/m,0.50,0.70,2.00,2007-02-09 00:30:00,1
78,All,2,G7 Meetings,NULL,NULL,NULL,2007-02-09 08:30:00,1
79,GBP,3,Goods Trade Balance,-6.9,-7.0,-7.1,2007-02-09 01:00:00,1
80,CAD,3,Employment Change,62.0,25.0,89.0,2007-02-09 03:30:00,1
81,All,3,G7 Meetings,NULL,NULL,NULL,2007-02-10 08:30:00,1
82,JPY,0,Bank Holiday,NULL,NULL,NULL,2007-02-11 08:30:00,0
83,AUD,3,RBA Monetary Policy Statement,NULL,NULL,NULL,2007-02-11 04:00:00,1
84,CNY,3,USD-Denominated Trade Balance,21.0,15.5,15.9,2007-02-11 06:40:00,1
85,GBP,3,PPI Input m/m,0.10,-0.80,-2.00,2007-02-12 01:00:00,1
86,GBP,1,CB Leading Index m/m,0.10,NULL,0.10,2007-02-12 07:00:00,1
87,USD,2,Federal Budget Balance,44.5,40.0,38.2,2007-02-11 22:30:00,1
88,NZD,3,PPI Input q/q,2.00,0.00,-0.30,2007-02-12 01:15:00,1
89,JPY,1,PPI y/y,2.50,2.40,2.20,2007-02-12 03:20:00,1
90,AUD,1,NAB Business Confidence,4,NULL,6,2007-02-12 04:00:00,1
91,CNY,2,PPI y/y,3.10,2.90,3.30,2007-02-12 05:30:00,1
92,JPY,1,Consumer Confidence,45.9,48.8,48.1,2007-02-13 08:30:00,1
93,EUR,3,German Prelim GDP q/q,0.80,0.60,0.90,2007-02-12 22:30:00,1
94,EUR,1,French Prelim GDP q/q,0.00,0.50,0.60,2007-02-12 23:15:00,1
95,EUR,1,Spanish Flash GDP q/q,0.90,1.10,1.10,2007-02-12 23:30:00,1
96,EUR,1,Italian Prelim GDP q/q,0.30,0.40,1.10,2007-02-13 00:30:00,1
97,GBP,3,CPI y/y,3.00,2.90,2.70,2007-02-13 01:00:00,1
98,EUR,2,Flash GDP q/q,0.20,0.60,0.90,2007-02-13 01:30:00,1
99,USD,1,NFIB Small Business Index,96.5,NULL,98.9,2007-02-13 04:00:00,1
100,CAD,2,Trade Balance,4.7,4.7,5.0,2007-02-13 05:00:00,1
101,USD,1,IBD/TIPP Economic Optimism,53.7,54,52.7,2007-02-13 06:30:00,1
102,NZD,1,FPI m/m,-0.50,NULL,1.40,2007-02-13 01:15:00,1
103,AUD,1,Westpac Consumer Sentiment,7.30,NULL,1.70,2007-02-13 03:00:00,1
104,JPY,1,Current Account,1.95,2.01,1.87,2007-02-13 03:20:00,1
105,CNY,2,CPI y/y,2.80,2.70,2.20,2007-02-13 05:30:00,1
106,JPY,1,Revised Industrial Production m/m,0.70,0.70,0.90,2007-02-13 08:00:00,1
107,CNY,1,Foreign Direct Investment ytd/y,4.20,NULL,13.80,2007-02-13 21:55:00,1
108,GBP,3,Claimant Count Change,-5.5,-5.0,-13.5,2007-02-14 01:00:00,-1
109,EUR,1,German 10-y Bond Auction,3.941,NULL,4.111,2007-02-14 01:40:00,0
110,GBP,3,BOE Gov King Speaks,NULL,NULL,NULL,2007-02-14 02:00:00,1
111,CAD,1,New Motor Vehicle Sales m/m,3.40,5.00,5.60,2007-02-14 05:00:00,1
112,USD,3,Fed Chairman Bernanke Testifies,NULL,NULL,NULL,2007-02-14 06:30:00,1
113,USD,1,Crude Oil Inventories,-0.4,1.0,-0.6,2007-02-14 07:00:00,-1
114,AUD,1,MI Inflation Expectations,3.50,NULL,3.20,2007-02-14 01:00:00,1
115,NZD,3,Core Retail Sales m/m,-0.10,0.20,0.20,2007-02-14 01:15:00,1
116,NZD,1,BusinessNZ Manufacturing Index,54.3,NULL,56,2007-02-14 02:30:00,1
117,JPY,3,Prelim GDP q/q,0.10,0.90,1.20,2007-02-14 03:20:00,1
118,GBP,2,RICS House Price Balance,37,34,28,2007-02-14 03:31:00,1
119,AUD,1,HPI q/q,2.10,1.80,0.90,2007-02-14 04:00:00,1
120,GBP,3,Retail Sales m/m,1.10,0.20,-1.80,2007-02-15 01:00:00,1
121,CHF,2,Credit Suisse Economic Expectations,-10.8,NULL,-17.3,2007-02-15 01:30:00,1
122,EUR,2,ECB President Trichet Speaks,NULL,NULL,NULL,2007-02-15 02:30:00,1
123,CAD,2,Manufacturing Sales m/m,2.40,0.60,1.70,2007-02-15 05:00:00,1
124,USD,3,TIC Long-Term Purchases,84.9,60.0,15.6,2007-02-15 05:30:00,1
125,USD,2,Capacity Utilization Rate,81.80,81.80,81.20,2007-02-15 05:45:00,1
126,USD,3,Fed Chairman Bernanke Testifies,NULL,NULL,NULL,2007-02-15 06:30:00,1
127,CAD,1,BOC Review,NULL,NULL,NULL,2007-02-15 07:00:00,1
128,USD,2,Philly Fed Manufacturing Index,8.3,3.5,0.6,2007-02-14 22:30:00,1
129,USD,1,NAHB Housing Market Index,35,35,40,2007-02-14 21:30:00,1
130,JPY,2,Tertiary Industry Activity m/m,0.00,-0.10,-0.40,2007-02-15 03:20:00,1
131,EUR,1,German Final CPI m/m,-0.20,-0.20,-0.20,2007-02-15 22:30:00,1
132,EUR,2,French Prelim Private Payrolls q/q,0.20,0.20,0.20,2007-02-15 23:15:00,1
133,CHF,2,Retail Sales y/y,3.30,2.50,0.80,2007-02-15 23:45:00,1
134,EUR,1,Italian Trade Balance,-0.93,-0.20,-0.59,2007-02-16 00:30:00,1
135,EUR,1,Trade Balance,4.4,3.2,0.7,2007-02-16 01:30:00,1
136,USD,3,PPI m/m,0.90,-0.60,-0.60,2007-02-16 05:00:00,1
137,USD,3,Prelim UoM Consumer Sentiment,96.9,96.5,93.3,2007-02-16 06:30:00,1
138,CNY,0,Bank Holiday,NULL,NULL,NULL,2007-02-18 03:30:00,0
139,GBP,1,Rightmove HPI m/m,0.50,NULL,0.90,2007-02-18 03:31:00,1
140,EUR,2,German Buba Monthly Report,NULL,NULL,NULL,2007-02-19 02:30:00,1
141,USD,0,Bank Holiday,NULL,NULL,NULL,2007-02-19 08:30:00,0
142,CAD,2,Foreign Securities Purchases,11.14,3.89,-3.26,2007-02-19 05:00:00,1
143,CNY,0,Bank Holiday,NULL,NULL,NULL,2007-02-19 08:30:00,0
144,EUR,1,German PPI m/m,0.00,0.10,0.00,2007-02-19 22:30:00,1
145,CHF,2,Trade Balance,0.41,0.75,1.27,2007-02-19 22:45:00,1
146,CHF,2,PPI m/m,0.00,-0.10,-0.20,2007-02-19 23:45:00,1
147,GBP,1,M4 Money Supply m/m,0.90,0.80,0.90,2007-02-20 01:00:00,1
148,CAD,3,Core CPI m/m,-0.20,0.10,0.10,2007-02-20 03:30:00,1
149,CAD,1,Gov Council Member Jenkins Speaks,NULL,NULL,NULL,2007-02-20 04:00:00,1
150,CAD,1,Leading Index m/m,0.20,0.40,0.50,2007-02-20 05:00:00,1
151,AUD,2,RBA Gov Stevens Speaks,NULL,NULL,NULL,2007-02-20 02:30:00,1
152,AUD,1,MI Leading Index m/m,0.50,NULL,0.60,2007-02-20 03:00:00,1
153,CNY,0,Bank Holiday,NULL,NULL,NULL,2007-02-20 08:30:00,0
154,AUD,1,New Motor Vehicle Sales m/m,1.40,NULL,5.30,2007-02-20 04:00:00,1
155,JPY,3,Overnight Call Rate,0.25,0.25,0.50,2007-02-19 21:30:00,1
156,JPY,1,BOJ Monthly Report,NULL,NULL,NULL,2007-02-20 21:30:00,1
157,JPY,3,BOJ Press Conference,NULL,NULL,NULL,2007-02-20 22:00:00,1
158,EUR,1,French Final CPI m/m,0.20,-0.30,-0.40,2007-02-20 23:15:00,1
159,GBP,2,MPC Member Bean Speaks,NULL,NULL,NULL,2007-02-20 23:30:00,1
160,EUR,1,Current Account,0.9,-1.2,2.3,2007-02-21 00:30:00,1
161,GBP,3,MPC Official Bank Rate Votes,5-0-4,1-0-8,2-0-7,2007-02-21 01:00:00,1
162,GBP,2,CBI Industrial Order Expectations,-9,-8,4,2007-02-21 02:30:00,1
163,CAD,3,Core Retail Sales m/m,0.20,0.70,2.00,2007-02-21 05:00:00,1
164,USD,1,CB Leading Index m/m,0.60,0.20,0.10,2007-02-21 06:30:00,1
165,USD,2,FOMC Member Kohn Speaks,NULL,NULL,NULL,2007-02-20 21:30:00,1
166,USD,3,FOMC Meeting Minutes,NULL,NULL,NULL,2007-02-20 22:30:00,1
167,JPY,1,Trade Balance,0.71,0.75,1.09,2007-02-21 03:20:00,1
168,CNY,0,Bank Holiday,NULL,NULL,NULL,2007-02-21 08:30:00,0
169,NZD,1,Credit Card Spending y/y,9.90,NULL,6.70,2007-02-21 04:30:00,1
170,EUR,1,German Final GDP q/q,0.90,0.90,0.90,2007-02-21 22:30:00,1
171,CHF,2,Employment Level,3.70,3.69,3.70,2007-02-21 23:45:00,1
172,EUR,1,Italian Retail Sales m/m,0.30,0.10,0.00,2007-02-22 00:30:00,1
173,GBP,2,Prelim Business Investment q/q,3.10,1.30,3.30,2007-02-22 01:00:00,1
174,EUR,2,Industrial New Orders m/m,1.10,0.20,2.80,2007-02-22 01:30:00,1
175,GBP,1,10-y Bond Auction,4.572,NULL,4.902,2007-02-22 02:19:00,0
176,CAD,2,Gov Council Member Kennedy Speaks,NULL,NULL,NULL,2007-02-22 04:00:00,1
177,CAD,1,Corporate Profits q/q,2.80,NULL,1.50,2007-02-22 05:00:00,1
178,EUR,2,Belgian NBB Business Climate,2.1,2.2,3.5,2007-02-22 05:30:00,1
179,USD,1,Crude Oil Inventories,-0.6,1.0,3.7,2007-02-22 07:00:00,-1
180,AUD,1,CB Leading Index m/m,0.50,NULL,0.20,2007-02-22 02:30:00,1
181,JPY,1,All Industries Activity m/m,-0.20,0.00,0.00,2007-02-22 03:20:00,1
182,CNY,0,Bank Holiday,NULL,NULL,NULL,2007-02-22 08:30:00,0
183,EUR,1,French Consumer Spending m/m,1.20,0.20,1.20,2007-02-22 23:15:00,1
184,EUR,3,German ifo Business Climate,107.9,107.5,107,2007-02-23 00:30:00,1
185,GBP,3,Second Estimate GDP q/q,0.80,0.80,0.80,2007-02-23 01:00:00,1
186,NZD,3,Trade Balance,-352,-652,-833,2007-02-25 01:15:00,1
187,JPY,2,Monetary Policy Meeting Minutes,NULL,NULL,NULL,2007-02-25 03:20:00,1
188,NZD,2,ANZ Business Confidence,-7.7,NULL,-5.9,2007-02-25 03:30:00,1
189,NZD,3,Inflation Expectations q/q,2.73,NULL,2.56,2007-02-25 05:30:00,1
190,EUR,1,German GfK Consumer Climate,4.9,4.7,4.4,2007-02-25 22:30:00,1
191,EUR,1,Eurogroup Meetings,NULL,NULL,NULL,2007-02-26 08:30:00,1
192,GBP,2,MPC Member Blanchflower Speaks,NULL,NULL,NULL,2007-02-26 09:00:00,1
193,AUD,2,HIA New Home Sales m/m,6.00,NULL,5.80,2007-02-26 04:30:00,1
194,EUR,2,German Prelim CPI m/m,-0.20,0.50,0.40,2007-02-27 08:30:00,1
195,EUR,1,German Import Prices m/m,-0.30,-0.20,-0.70,2007-02-26 22:30:00,1
196,CHF,2,UBS Consumption Indicator,1.9,NULL,1.95,2007-02-27 00:30:00,1
197,EUR,1,ECOFIN Meetings,NULL,NULL,NULL,2007-02-27 08:30:00,1
198,GBP,2,High Street Lending,45.5,NULL,37.8,2007-02-27 01:00:00,1
199,EUR,1,Italian 10-y Bond Auction,4.291,NULL,4.141,2007-02-27 01:47:00,0
200,USD,3,Core Durable Goods Orders m/m,2.60,-0.20,-3.10,2007-02-27 05:00:00,1
201,USD,1,S&P/CS Composite-20 HPI y/y,1.80,0.90,0.50,2007-02-27 05:30:00,1
202,USD,3,CB Consumer Confidence,110.2,109,112.5,2007-02-27 06:30:00,1
203,NZD,2,Building Consents m/m,-4.90,NULL,3.90,2007-02-27 01:15:00,1
204,JPY,1,Final Manufacturing PMI,53.4,NULL,53,2007-02-27 03:00:00,1
205,JPY,2,Prelim Industrial Production m/m,0.90,-1.80,-1.50,2007-02-27 03:20:00,1
206,AUD,2,Construction Work Done q/q,-2.10,1.50,4.30,2007-02-27 04:00:00,1
207,JPY,1,Housing Starts y/y,10.20,4.50,-0.70,2007-02-28 08:30:00,1
208,GBP,2,Nationwide HPI m/m,0.30,0.50,0.70,2007-02-27 22:30:00,1
209,EUR,2,German Unemployment Change,-70,-78,-69,2007-02-28 00:25:00,-1
210,EUR,1,Consumer Confidence,-7,-6,-5,2007-02-28 01:30:00,1
211,CHF,2,KOF Economic Barometer,1.74,1.7,1.79,2007-02-28 02:00:00,1
212,USD,1,FOMC Member Kohn Speaks,NULL,NULL,NULL,2007-02-28 04:00:00,1
213,USD,3,Prelim GDP q/q,3.50,2.40,2.20,2007-02-28 05:00:00,1
214,USD,2,FOMC Member Geithner Speaks,NULL,NULL,NULL,2007-02-28 05:25:00,1
215,EUR,3,ECB President Trichet Speaks,NULL,NULL,NULL,2007-02-28 05:30:00,1
216,USD,2,Chicago PMI,48.8,50,47.9,2007-02-28 06:15:00,1
217,USD,3,Fed Chairman Bernanke Testifies,NULL,NULL,NULL,2007-02-28 06:30:00,1
218,USD,1,Crude Oil Inventories,3.7,2.1,1.4,2007-02-28 07:00:00,-1
219,NZD,1,Visitor Arrivals m/m,-1.50,NULL,-3.20,2007-02-28 01:15:00,1
220,AUD,1,AIG Manufacturing Index,51.3,NULL,57.7,2007-02-28 02:00:00,1
221,AUD,3,Private Capital Expenditure q/q,-5.30,2.90,-0.20,2007-02-28 04:00:00,1
222,CNY,2,Caixin Manufacturing PMI,52,NULL,53,2007-02-28 06:00:00,1
223,JPY,1,10-y Bond Auction,1.702,NULL,1.673,2007-02-28 07:15:00,0
224,AUD,2,Commodity Prices y/y,9.60,NULL,8.10,2007-03-01 09:00:00,1
225,EUR,1,Spanish Manufacturing PMI,56.2,NULL,56.2,2007-02-28 23:45:00,1
226,CHF,2,Manufacturing PMI,62,62,63.5,2007-03-01 00:00:00,1
227,EUR,1,Italian Manufacturing PMI,53.5,53.9,54.2,2007-03-01 00:15:00,1
228,EUR,2,Final Manufacturing PMI,55.5,55.7,55.6,2007-03-01 00:30:00,1
229,GBP,2,Final Manufacturing PMI,53.2,53,55.4,2007-03-01 01:00:00,1
230,EUR,1,CPI Flash Estimate y/y,1.90,1.90,1.80,2007-03-01 01:30:00,1
231,EUR,1,French 10-y Bond Auction,4.122,NULL,4.012,2007-03-01 01:40:00,0
232,GBP,2,CBI Realized Sales,30,22,19,2007-03-01 02:30:00,1
233,USD,1,Challenger Job Cuts y/y,-39.10,NULL,-3.90,2007-03-01 04:00:00,-1
234,CAD,2,Current Account,5.8,6.0,3.0,2007-03-01 05:00:00,1
235,USD,1,Natural Gas Storage,-223,-142,-132,2007-03-01 06:00:00,-1
236,USD,3,ISM Manufacturing PMI,49.3,50,52.3,2007-03-01 06:30:00,1
237,USD,1,Total Vehicle Sales,16.6,16.2,16.6,2007-03-01 08:30:00,1
238,USD,1,Treasury Sec Paulson Speaks,NULL,NULL,NULL,2007-02-28 22:30:00,1
239,JPY,2,Tokyo Core CPI y/y,0.20,0.10,0.00,2007-03-01 03:00:00,1
240,JPY,1,Monetary Base y/y,-21.10,-21.50,-21.10,2007-03-01 03:20:00,1
241,AUD,3,Retail Sales m/m,0.20,0.50,0.90,2007-03-01 04:00:00,1
242,CNY,3,Manufacturing PMI,55.1,NULL,53.1,2007-03-01 04:30:00,1
243,JPY,1,Average Cash Earnings y/y,-0.10,0.30,-1.40,2007-03-01 05:00:00,1
244,EUR,2,German Retail Sales m/m,2.60,-1.30,-5.10,2007-03-01 22:30:00,1
245,EUR,1,Spanish Unemployment Change,59.6,NULL,-7.2,2007-03-01 23:30:00,-1
246,GBP,1,Construction PMI,57.9,57,57.3,2007-03-02 01:00:00,1
247,EUR,1,PPI m/m,0.00,0.30,0.10,2007-03-02 01:30:00,1
248,CAD,3,GDP m/m,0.30,0.30,0.40,2007-03-02 05:00:00,1
249,USD,2,Revised UoM Consumer Sentiment,93.3,94,91.3,2007-03-02 06:30:00,1
250,CNY,1,Non-Manufacturing PMI,55.6,NULL,49.7,2007-03-02 04:30:00,1
251,USD,2,Fed Chairman Bernanke Speaks,NULL,NULL,NULL,2007-03-01 21:30:00,1
252,AUD,1,AIG Services Index,49.5,NULL,54.5,2007-03-04 02:00:00,1
253,AUD,1,MI Inflation Gauge m/m,0.00,NULL,0.20,2007-03-04 03:00:00,1
254,JPY,2,Capital Spending q/y,12.00,13.50,16.80,2007-03-04 03:20:00,1
255,AUD,1,Company Operating Profits q/q,0.50,2.40,2.50,2007-03-04 04:00:00,1
256,EUR,1,Spanish Services PMI,57.9,NULL,56.7,2007-03-04 23:45:00,1
257,EUR,1,Italian Services PMI,55.4,55.6,56.2,2007-03-05 00:15:00,1
258,EUR,1,Final Services PMI,57.9,57.6,57.5,2007-03-05 00:30:00,1
259,EUR,1,Sentix Investor Confidence,31.1,29.3,27.5,2007-03-05 01:00:00,1
260,USD,2,FOMC Member Kroszner Speaks,NULL,NULL,NULL,2007-03-05 05:30:00,1
261,CAD,3,Ivey PMI,53.8,55.2,60.5,2007-03-05 06:30:00,1
262,USD,2,FOMC Member Warsh Speaks,NULL,NULL,NULL,2007-03-04 22:30:00,1
263,AUD,3,Building Approvals m/m,-1.80,0.50,-0.90,2007-03-05 04:00:00,1
264,CHF,2,GDP q/q,0.40,0.70,0.50,2007-03-05 22:15:00,1
265,CHF,1,Foreign Currency Reserves,45,NULL,45,2007-03-05 23:30:00,-1
266,EUR,1,Retail Sales m/m,0.30,-0.30,-1.00,2007-03-06 01:30:00,1
267,GBP,2,BRC Retail Sales Monitor y/y,3.10,NULL,3.30,2007-03-06 02:30:00,1
268,CAD,2,Building Permits m/m,-9.00,2.10,11.30,2007-03-06 05:00:00,1
269,CAD,3,BOC Rate Statement,NULL,NULL,NULL,2007-03-06 05:30:00,1
270,USD,3,Pending Home Sales m/m,4.50,-2.20,-4.10,2007-03-06 06:30:00,1
271,USD,3,Fed Chairman Bernanke Speaks,NULL,NULL,NULL,2007-03-05 22:30:00,1
272,AUD,3,Cash Rate,6.25,6.25,6.25,2007-03-06 02:00:00,1
273,GBP,1,Nationwide Consumer Confidence,84,82,85,2007-03-06 03:31:00,1
274,AUD,2,RBA Assist Gov Edey Speaks,NULL,NULL,NULL,2007-03-06 03:40:00,1
275,AUD,3,GDP q/q,0.30,0.50,1.00,2007-03-06 04:00:00,1
276,NZD,1,ANZ Commodity Prices m/m,1.30,NULL,1.60,2007-03-06 06:30:00,1
277,JPY,1,Leading Indicators,31.80,35.00,35.00,2007-03-07 08:30:00,1
278,CHF,1,Unemployment Rate,3.00,3.00,3.00,2007-03-06 22:15:00,-1
279,GBP,1,BRC Shop Price Index y/y,1.80,NULL,1.80,2007-03-07 02:00:00,1
280,EUR,2,German Factory Orders m/m,0.70,0.40,-1.00,2007-03-07 02:30:00,1
281,USD,2,ADP Non-Farm Employment Change,121,100,57,2007-03-07 04:45:00,1
282,USD,1,Crude Oil Inventories,1.4,1.8,-4.8,2007-03-07 07:00:00,-1
283,USD,2,Beige Book,NULL,NULL,NULL,2007-03-06 22:30:00,1
284,NZD,3,Official Cash Rate,7.25,7.50,7.50,2007-03-06 23:30:00,1
285,NZD,1,Overseas Trade Index q/q,-2.20,3.20,2.40,2007-03-07 01:15:00,1
286,JPY,1,Bank Lending y/y,1.70,NULL,1.30,2007-03-07 03:20:00,1
287,JPY,1,Prelim Machine Tool Orders y/y,6.00,NULL,15.90,2007-03-07 21:30:00,1
288,CHF,3,CPI m/m,-0.70,0.30,0.20,2007-03-07 22:15:00,1
289,JPY,1,Economy Watchers Sentiment,47.2,47.8,49.2,2007-03-07 22:30:00,1
290,EUR,1,French Gov Budget Balance,-36.2,NULL,-5.5,2007-03-07 23:15:00,1
291,GBP,3,Halifax HPI m/m,1.40,0.50,1.80,2007-03-07 23:30:00,1
292,EUR,2,German Industrial Production m/m,0.10,0.30,1.90,2007-03-08 02:30:00,1
293,GBP,3,Official Bank Rate,5.25,5.25,5.25,2007-03-08 03:30:00,1
294,EUR,3,Main Refinancing Rate,3.50,3.75,3.75,2007-03-08 04:15:00,1
295,CAD,3,Housing Starts,249,214,196,2007-03-08 04:45:00,1
296,CAD,1,NHPI m/m,0.00,0.30,0.30,2007-03-08 05:00:00,1
297,USD,1,Natural Gas Storage,-132,-100,-102,2007-03-08 06:00:00,-1
298,JPY,2,Core Machinery Orders m/m,-0.70,1.80,3.90,2007-03-08 03:20:00,1
299,EUR,1,German Trade Balance,14.8,14.3,15.8,2007-03-08 22:30:00,1
300,EUR,2,French Industrial Production m/m,1.00,0.10,-0.30,2007-03-08 23:15:00,1
301,GBP,3,Manufacturing Production m/m,0.20,0.20,-0.20,2007-03-09 01:00:00,1
302,CAD,3,Employment Change,89.0,8.0,14.0,2007-03-09 03:30:00,1
303,CAD,3,Trade Balance,5.0,4.8,6.3,2007-03-09 05:00:00,1
